company_name,state,owner_or_ceo_name,source,source_url,age_or_birthyear,children,family_in_company,notes,confidence
1 Sourcedesign,ON (Canada),Richard Myers,LinkedIn owner profile; company social,https://ca.linkedin.com/in/richard-myers-79943b20a; https://www.facebook.com/100064549098539/mentions/,unknown,unknown,Described publicly as family-owned,"LinkedIn shows Richard Myers as Business Owner of 1 Source Design Ltd. Company and local mentions describe it as family-owned, but no named relatives or children tied to roles were found on public pages. Children details not published in reliable sources; would require checking local news/obituaries.",Medium
Hpmold,AZ,Scott A. Harris,Arizona Corporation Commission – Annual Report (officer list),https://ecorp.azcc.gov/CommonHelper/GetFilingDocuments?barcode=22110318026568,unknown,unknown,Yes — Pamela Harris listed as officer,Official AZ Corporation Commission filing lists Scott A. Harris as President and Pamela Harris as Director/Secretary/Treasurer. No public documentation found naming children or showing them in the business; obituaries/local features do not surface in this pass.,High
Mrmold,CA,Rick Finnie,Company site; Plastics Machinery & Manufacturing interview (2022),https://www.mrmold.com/moldbuilder; https://www.plasticsmachinerymanufacturing.com/molds-tooling/article/21278335/finnie-finds-silicone-niche,1959–60 (trade press listed age 62 in 2022),unknown,unknown,Company site confirms role as Owner/President. Trade press (Aug 2022) lists age 62 ? implies birth year ~1960 (range 1959–60). No reliable sources naming children or indicating family participation were found.,High
Prestigemold,CA,Donna Pursell,Plastics News profile; Company news page,https://www.plasticsnews.com/article/20150723/NEWS/150729944/women-in-plastics-donna-pursell; https://www.prestigemold.com/news-a-events.php,1959–60 (profile stated mid-50s in 2015),unknown,Yes — spouse/co-founder (late Mike Koebel),Trade press identifies Pursell as owner/CEO and co-founder with her late husband Mike Koebel. No public evidence of children working in the business surfaced in company bios or press; would require obituary/local feature review to confirm.,High
Source One,CA,Tibor Nagy,Company history page; LinkedIn owner profile,https://source-one.net/company-history/; https://www.linkedin.com/in/tibor-nagy-8424812a,unknown,unknown,unknown,Company history references founder as “Mr. Nagy.” LinkedIn profile indicates Tibor Nagy as Owner. No reliable public references to children or family operating roles were found on company pages.,Medium
Southcoastmold,CA,Paul Novak,Company About page; news/awards section,https://www.southcoastmold.com/about-us,unknown,unknown,Yes — second-generation ownership,Founded by Peter Novak in 1973; ownership transferred to his son Paul Novak in 1995. Public pages and awards note family ownership. No named children working in the company on public pages; children info typically appears in obituaries/local features.,High
Westecplastics,CA,Paul Biery (Founder),Company team page; employee spotlight,https://www.westecplastics.com/about-us/our-team/; https://www.westecplastics.com/blogs-news/westec-employee-spotlight-paul-biery/,1945–50 (estimated from founding year 1969),unknown,Yes — spouse/co-founder Karen Biery,Westec was founded in 1969 by Paul and Karen Biery. Recent posts show Paul semi-retired with day-to-day led by President Tammy Barras. No public listing of children employed in leadership on site or blog.,High
Ptaplastics,CO,Rich Dorans (President/CEO),Company About page; Plastics News coverage,https://www.ptaplastics.com/about.html; https://www.plasticsnews.com/article/20190226/NEWS/190224856/dorans-taking-over-as-ceo-of-pta-plastics,unknown,unknown,unknown,Dorans has been with PTA since 1984 and became President/CEO in 2019. No public sources naming children or broader family involvement were found on corporate pages.,Medium
Ivanhoetool,MI,unknown,Company website (no leadership page visible),http://ivanhoetool.com/,unknown,unknown,unknown,Site presents services and contact info but no management/leadership names. Children/family information not available on public pages.,Low
Wepcoplastics,CT,Wally (Waldo) Parmelee (Owner); David Parmelee (President),Hartford Business Journal Family Business Awards; Company About page,https://www.hartfordbusiness.com/article/2021-family-business-awards-wepco-plastics-inc; https://wepcoplastics.com/about/,unknown,David Parmelee (son),Yes — father/son both in company,HBJ award profile explicitly names Wally Parmelee and his son David Parmelee as leaders. Company site confirms family ownership; Cara Scirpo also cited in HBJ as family.,High
Westminstertool,CT,Ray Coombs (Founder/President),MoldMaking Technology feature; company About/News,https://www.moldmakingtechnology.com/articles/2021-leadtime-leader-award-winner-westminster-toolperseverance-with-a-plan; https://www.westminstertool.com/about-us/,unknown,Hillary Thomas; Hannah Coombs; Colby Coombs,Yes — children in leadership/roles,"Trade press and company materials identify multiple Coombs family members on staff (e.g., Hillary Thomas as VP). This is one of the clearest public cases of children working in the firm.",High
Amdiemold,NC,Chris Bieglow (CEO),LinkedIn executive profile; association directory,https://www.linkedin.com/in/chris-bieglow-7a7896105; https://www.mappinc.com/members/american-diemold-inc/,unknown,unknown,unknown,Executive name appears in LinkedIn and industry association listings. No public children/family mentions on corporate pages.,Medium
Carsonmold,MI,unknown,Company website (minimal),http://www.carsonmold.com,unknown,unknown,unknown,Minimal website content; no leadership/owner names visible. Further research needed via SOS and local business profiles.,Low
Atemold,MI,Jeff Petersen (President),LinkedIn profile; company site,https://www.linkedin.com/in/jeff-petersen-82189039; http://www.atemold.com,unknown,unknown,unknown,LinkedIn confirms current president. Public pages do not name children or family members working in the business.,Medium
Iowa Mold & Engineering (IME),IA,Brad Cook (President),Company contact page,https://iowamold.com/who-to-contact/,unknown,unknown,Unknown,"Company 'Who to Contact' lists Brad Cook as President (Belle Plaine, IA). No public bios mentioning spouse/children; will require local profiles/obits to confirm family. ",High
