Company Name,Target Status,Status (proposed),Public Website Homepage URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info),AI Failed Criteria,AI Filter Flag
"South Coast Mold, Inc.",CY,"High-end, precision tooling shop",http://www.southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Aerospace; Automotive; Medical; Industrial gas turbines,Tool and die design and manufacturing; CNC programming and operation; Quality control and inspection; Sales and estimating for custom projects,~30k ft² (public: ZI 2023),~40 (zoominfo),$12M (calc from employees); ~$5M (public: ZI 2023),52,Privately held; family-owned,Makino; Yasda; CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,NI,Yes,,No region,Yes,,,
Westec Plastics Corporation,CY,"High-end, medical-focused moldmaker",http://www.westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,"Medical; Aerospace and Defense; Consumer Products; Electronics; Sports, Recreation, & Entertainment",Plastic injection molding; Mold building and 3D printed injection mold tooling; Secondary operations and quality management; Clean room capabilities for medical and other sensitive applications; ISO 13485,"~30,000 ft² (zoominfo)",~50 (zoominfo),"""$11M (calc from sqft); ~$10M (public: ZI 2023)""",56,Privately held; family-owned,Engel (Injection Molding Tryout Presses); Arburg (Injection Molding Tryout Presses); CMM / Metrology Systems,NI,NI,NI,Yes,,No region,Yes,,,
PTA Plastics,CY,"High-end, medical-focused moldmaker",https://www.ptaplastics.com/,AMBA,148 Christian Street,Oxford,CT,6478,(203) 888-0585,Medical; Defense; Safety and Security,Design for Manufacturability (DFM); In-house moldmaking; Injection molding; Cleanroom manufacturing; ISO 13485,"51,000 ft² Manufacturing; 21,000 ft² Additional Warehouse (site)",250+ (site),$50M (calc from employees),72,Employee-owned,Injection Molding Tryout Presses; CNC Mills; CMM / Metrology Systems,refer to site,refer to site,NI,NI,,No region,Yes,,,
"Ivanhoe Tool & Die Company, Inc.",CY,"High-end, precision tooling shop",http://ivanhoetool.com/,AMBA,590 Thompson Road,Thompson,CT,06277-0218,(860) 923-9541,Packaging; Healthcare; Medical; Cosmetic; Technical; Automotive,CNC; Cavitation; ISO 9001:2015,"~50,000 ft² (zoominfo)","""50 (site)""","""$10M (calc from employees); $30M (calc from sqft)""",73,Privately held; founded by James L. McWilliam in 1952. Family-owned.,Makino (5-axis); Yasda (5-axis); Kern (5-axis); CNC Mills (3-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,refer to site,NI,Yes,,No region,Yes,,,
"Wepco Plastics, Inc.",CY,"High-end, private moldmaker",https://wepcoplastics.com/,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,6455,(860) 349-1542,Aerospace; Medical; Consumer; Industrial; Electronics,"prototype and short-to-medium run plastic injection molding; 3-week tooling; 50,000 part guarantee; Design and engineering for concept prototypes; 3D printing; In-house tooling capabilities; Injection molding; light assembly; overmolding","~50,000 ft² (site)",30+ (site),$6M (calc from employees); ~$5M (public: ZI 2023),35,Privately held; family-owned,CNC Mills (3-axis); CNC Mills (5-axis); Injection Molding Tryout Presses,Yes,Yes,NI,Yes,,No region,Yes,,,
Westminster Tool Inc.,CY,"High-end, medical-focused moldmaker",http://www.westminstertool.com,AMBA,5 East Parkway,Plainfield,CT,6374,(860) 564-6966,"Medical, Aerospace and defense, Consumer packaging, Automotive, Industrial","Injection mold systems, including complete mold design and design for manufacturing; High-performance component production using thermoplastic and metallic materials; Precision machining of complex components for injection and composite molds; Custom component production tailored to unique customer challenges; CNC; Wire EDM",~50k ft² (zoominfo),40+ (site),"""$12M (calc from employees); ~$10M (public: ZI 2023)""",NI,Privately held; employee-centric business model,Injection Molding Tryout Presses; CNC Mills (3-axis); Wire EDM; CMM / Metrology Systems,Yes,NI,NI,NI,,No region,Yes,,,
"Ameritech Die & Mold, Inc.",CY,"High-end, precision tooling shop",https://www.amdiemold.com/,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Aerospace; Automotive; Consumer products; Industrial,"Engineering and project management for mold builds; New mold builds and engineering changes; Mold repairs and sampling; 5-axis machining and CNC EDM, including wire EDM; Horizontal machining and gun drilling; Welding services; CNC; EDM; Wire EDM","~30,000 ft² (zoominfo)",~50 (zoominfo),"""$10M (calc from employees); ~$10M (zoominfo)""",40,"Privately held; founded by Ronald Wozny, Richard Wozny, and Steven Rotman; In 2000, Steven Rotman bought out his partners.",CNC Mills (5-axis); Wire EDM; Gun Drill,NI,Yes,Yes,refer to site,,RT-NC,NI,,,
Carson Tool & Mold,CY,"High-end, private moldmaker",http://www.carsonmold.com,AMBA,3070 Moon Station Road,Kennesaw,GA,30144,(770) 427-3716,Automotive; Consumer Products; Industrial,Design and engineering of molds tailored to client specifications; Manufacturing of injection molds with a focus on quality and longevity; Quality control and maintenance services to ensure mold performance; Repair and qualification testing of molds to meet industry standards,~30k ft² (public: ZI 2023),~40 (estimate),"""$8M (calc from employees); $18M (calc from sqft)""",80,"Privately held; family-owned; President Chris Myers, who has over 20 years of experience in the industry.",Makino (5-axis); Yasda (3-axis); CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM; Sinker EDM; CMM / Metrology Systems,Yes,Yes,Yes,Yes,,No region,NI,,,
American Tool & Engineering Inc.,CY,"High-end, private moldmaker",http://www.atemold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Plastics; Automotive; Consumer Products; Packaging,Design and manufacturing of engineered molds for the plastics industry; Production of industrial blow molds and thermoform molds; CNC machining with 5-axis capabilities; 3D scanning and dimension checks using probe systems; Wood pattern production for castings and prototype tools,"15,750 ft² (site)",~40 (zoominfo),"""$8M (calc from employees); ~$5M (public: ZI 2023)""",33,Privately held; family-owned,"CNC Machines (13 total, including 5-axis); ONA CNC EDM machine; Gundrill; Boring Mill",refer to site,Yes,NI,Yes,,No region,NI,,,
"Iowa Mold & Engineering, Inc",CY,"High-end, precision tooling shop",http://www.iowamold.com,AMBA,401 3rd Street,Belle Plaine,IA,52208,(319) 444-2221,Automotive; Agricultural; Consumer Goods; Industrial Equipment; Electronics,Plastic injection mold building; Structural foam and die cast mold construction; Solid model design and engineering; Heat treating and micro TIG welding; Polishing and wire EDM services; High precision CNC machining with 3 and 5 axis centers; Wire EDM,"26,300 ft² (site)",32 (site),$6.4M (calc from employees); ~$5M (public: ZI 2023),31,Privately held; President Brad Cook,CNC Mills (3-axis); CNC Mills (5-axis); Wire EDM,Yes,Yes,NI,refer to site,,No region,NI,,,
